Permit Number,Permit Year,Project ID,Site,Trip Code,Turtle ID,Capture Number,Date,Year,Month,Season,Transect ID,Location,Time,Method,GPS_Y,GPS_X,Tags,Days At Large,Tag Scars,Tag Scar Location,Tags Fouled,Tags Fouled Comment,Flipper Tag 1,Flipper Tag 2,PIT Tag,Species,Head Width cm,SCL Min cm,SCL Standard cm,SCWidth cm,CCL Min cm,CCL Standard cm,CCWidth cm,Plastron cm,Tail to Tip cm,Tail to Vent cm,Weight kg,Sex,Body Condition,Flipper Damage,Flipper Damage Comment,Carapace Damage,Carapace Damage Comment,Mouth Check,Mouth Check Comment,Leeches,Leeches Comment,Coccoons,Coccoons Comment,Barnacles Scutes,Barnacles Scales,Fibropapilloma Visible,FP Tumor Score,FP Balazs Score,Photos,Notes,Taken to Rehab,Final Disposition
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,1,NA,5/6/16,2016,5,1 - Spring,,NA,9:15,Dip Net,28.84453,-82.75607,New Recruit,NA,No,NA,NA,NA,LLP018,LLP019,982.000362984124,Cm,4.9,32.7,33.4,27.4,34.6,NA,30,26.2,6.5,3.7,3.9,NA,Good,Yes,"RRF 5%, 3 fresh cuts to flipper edge",No,NA,Yes,Clean,No,NA,No,NA,Few,Few,No,NA,NA,Yes,,No,Released
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,2,NA,5/6/16,2016,5,1 - Spring,,NA,9:30,Dip Net,28.84608,-82.76060,New Recruit,NA,No,NA,NA,NA,LLP011,NA,982.000364835451,Cm,4.7,40.6,41.2,33.6,44.2,NA,37.9,33.6,6.5,3.5,8.5,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,Few,Few,Yes,26,2,Yes,,No,Released
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,3,NA,5/6/16,2016,5,1 - Spring,,NA,9:50,Dip Net,28.84258,-82.76115,New Recruit,NA,No,NA,NA,NA,NA,NA,982.000364884011,Cm,4.7,26.4,26.5,21,28.9,NA,23.5,22,4.4,2.9,2.6,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,Heavy,Few,No,NA,NA,Yes,,No,Released
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,4,NA,5/6/16,2016,5,1 - Spring,,NA,10:20,Dip Net,28.84588,-82.76027,New Recruit,NA,No,NA,NA,NA,LLP012,LLP013,982.000365058642,Cm,5.6,38.4,39,31.3,41.9,NA,35.1,30.7,6.9,4.8,7.3,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,Few,None,Yes,2,1,Yes,,No,Released
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,5,NA,5/6/16,2016,5,1 - Spring,,NA,10:24,Dip Net,28.84698,-82.75883,New Recruit,NA,No,NA,NA,NA,NA,NA,982.000362993150,Cm,5.5,34.7,35.3,27.8,37.8,NA,32.6,28.2,5.9,4.3,5.5,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,Yes,Front flippers,Few,None,Yes,51,2,Yes,,No,Released
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,6,NA,5/6/16,2016,5,1 - Spring,,NA,10:36,Dip Net,28.84163,-82.75767,New Recruit,NA,No,NA,NA,NA,LLP014,LLP015,982.000362981583,Cm,4.9,31.8,32,24.5,34.5,NA,29.1,26.4,5.5,3.5,4.3,NA,Good,No,NA,No,NA,Yes,Clean,Yes,"Inguinal, neck",Yes,Front flippers,Few,None,Yes,4,1,Yes,,No,Released
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,7,NA,5/6/16,2016,5,1 - Spring,,NA,10:55,Dip Net,28.84060,-82.76022,New Recruit,NA,No,NA,NA,NA,LLP016,LLP017,982.000362986908,Cm,5,32.9,33.4,25.1,35.3,NA,28.4,26.7,5.5,3.5,4.6,NA,Good,No,NA,No,NA,Yes,Seagrass,Yes,Inguinal  ,Yes,"Ventral side, LFF RFF",Few,None,No,NA,NA,Yes,,No,Released
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,8,NA,5/7/16,2016,5,1 - Spring,,NA,9:47,Dip Net,28.81637,-82.78640,New Recruit,NA,No,NA,NA,NA,LLP020,LLP022,982.000364883639,Cm,7.5,50.3,51.2,40.8,55.7,NA,48.7,43,8,5.2,17.8,NA,Robust,No,NA,No,NA,Yes,Clean,Yes,Inguinal,No,NA,Few,None,No,NA,NA,Yes,,No,Released
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,10,NA,5/7/16,2016,5,1 - Spring,,NA,10:51,Dip Net,28.81045,-82.77908,New Recruit,NA,No,NA,NA,NA,LLP103,LLP104,982.000364835786,Cm,5.5,32.9,33.4,26.3,34.9,NA,30,27.5,4.9,3.1,4.7,NA,Good,No,NA,No,NA,Yes,Seagrass,No,NA,Yes,FLF,Few,Few,No,NA,NA,Yes,,No,Released
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,11,NA,5/7/16,2016,5,1 - Spring,,NA,11:27,Dip Net,28.81685,-82.77225,New Recruit,NA,No,NA,NA,NA,LLP023,NA,982.000362993411,Cm,5,29.6,30,24.7,31.9,NA,28.8,24.5,5.9,4.1,3.5,NA,Robust,No,NA,Yes,Scrape/dent right plastron,Yes,Clean,Yes,"Neck, removed",Yes,"RRF LRF, head/neck",Few,Few,No,NA,NA,Yes,,No,Released
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,12,NA,5/7/16,2016,5,1 - Spring,,NA,11:48,Dip Net,28.81668,-82.77050,New Recruit,NA,No,NA,NA,NA,LLP101,LLP102,982.000362992918,Cm,5.4,32.3,32.6,26.5,34.3,NA,29.6,27,4.5,2.9,4,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,Yes,FLF,None,None,No,NA,NA,Yes,,No,Released
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,23,NA,5/9/16,2016,5,1 - Spring,,NA,9:30,Dip Net,28.77082,-82.77095,New Recruit,NA,No,NA,NA,NA,LLP126,LLP127,982.000406134379,Cm,6.6,40.5,41.2,31.7,43.5,NA,37.6,44,5.8,3.5,8.8,NA,Robust,No,NA,No,NA,Yes,Clean,Yes,Rear flippers,No,NA,Few,None,No,NA,NA,Yes,,No,Released
NMFS 19496,NMFS_2015-2016,Effects of the recreational bay scallop fishery,"Crystal River, FL, USA",CR201605_1,25,NA,5/9/16,2016,5,1 - Spring,,NA,13:37,Dip Net,28.76453,-82.76088,New Recruit,NA,No,NA,NA,NA,LLP134,LLP135,982.000406132821,Cm,6.7,45.6,46.2,38.2,49.6,NA,43.1,37.6,8.1,5.5,13.4,NA,Good,No,NA,No,NA,Yes,Seagrass,No,NA,No,NA,None,None,No,NA,NA,Yes,,No,Released
